election_number,year,month
1,1945,7
2,1950,2
3,1951,10
4,1955,5
5,1959,10
6,1964,10
7,1966,3
8,1970,6
9,1974,2
10,1974,10
11,1979,5
12,1983,6
13,1987,6
14,1992,4
15,1997,5
16,2001,6
17,2005,5
18,2010,5
19,2015,5
20,2017,6
21,2019,12
22,2024,7
