group,word_counts,sentence_counts,char_counts,ocr_error_rates,avg_word_lengths,punctuation_freqs,recommendation
1974-02-labour_party,"from_csv:4761, PyMuPDF:0, Tesseract:6093","from_csv:186, PyMuPDF:0, Tesseract:304","from_csv:29125, PyMuPDF:0, Tesseract:47516","from_csv:0.9973, PyMuPDF:0.0000, Tesseract:0.9982","from_csv:5.0972, PyMuPDF:0.0000, Tesseract:4.5152","from_csv:0.0145, PyMuPDF:0.0000, Tesseract:0.0133",Tesseract
1955-05-labour_party,"from_csv:N/A, PyMuPDF:2952, Tesseract:3282","from_csv:N/A, PyMuPDF:148, Tesseract:158","from_csv:N/A, PyMuPDF:17922, Tesseract:19681","from_csv:N/A, PyMuPDF:1.0000, Tesseract:0.9997","from_csv:N/A, PyMuPDF:5.0630, Tesseract:4.8787","from_csv:N/A, PyMuPDF:0.0151, Tesseract:0.0148",Tesseract
1974-10-labour_party,"from_csv:8759, PyMuPDF:8830, Tesseract:8826","from_csv:372, PyMuPDF:374, Tesseract:376","from_csv:53235, PyMuPDF:53986, Tesseract:54288","from_csv:0.9881, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.0526, PyMuPDF:5.1065, Tesseract:5.1123","from_csv:0.0140, PyMuPDF:0.0141, Tesseract:0.0140",PyMuPDF
1951-10-conservative_party,"from_csv:N/A, PyMuPDF:2730, Tesseract:2720","from_csv:N/A, PyMuPDF:146, Tesseract:146","from_csv:N/A, PyMuPDF:16214, Tesseract:16341","from_csv:N/A, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:N/A, PyMuPDF:4.9352, Tesseract:4.9607","from_csv:N/A, PyMuPDF:0.0157, Tesseract:0.0155",PyMuPDF
1959-10-labour_party,"from_csv:N/A, PyMuPDF:5167, Tesseract:5358","from_csv:N/A, PyMuPDF:259, Tesseract:263","from_csv:N/A, PyMuPDF:31252, Tesseract:32496","from_csv:N/A, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:N/A, PyMuPDF:5.0437, Tesseract:5.0216","from_csv:N/A, PyMuPDF:0.0152, Tesseract:0.0152",Tesseract
1955-05-conservative_party,"from_csv:N/A, PyMuPDF:12030, Tesseract:11994","from_csv:N/A, PyMuPDF:634, Tesseract:634","from_csv:N/A, PyMuPDF:72297, Tesseract:72711","from_csv:N/A, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:N/A, PyMuPDF:5.0086, Tesseract:5.0296","from_csv:N/A, PyMuPDF:0.0150, Tesseract:0.0150",PyMuPDF
1951-10-labour_party,"from_csv:N/A, PyMuPDF:1874, Tesseract:2318","from_csv:N/A, PyMuPDF:122, Tesseract:136","from_csv:N/A, PyMuPDF:11264, Tesseract:13460","from_csv:N/A, PyMuPDF:1.0000, Tesseract:0.9996","from_csv:N/A, PyMuPDF:4.9979, Tesseract:4.6040","from_csv:N/A, PyMuPDF:0.0173, Tesseract:0.0170",Tesseract
2016-06-leave,"from_csv:N/A, PyMuPDF:1398, Tesseract:1745","from_csv:N/A, PyMuPDF:46, Tesseract:76","from_csv:N/A, PyMuPDF:7836, Tesseract:13898","from_csv:N/A, PyMuPDF:1.0000, Tesseract:0.9811","from_csv:N/A, PyMuPDF:4.5143, Tesseract:4.1433","from_csv:N/A, PyMuPDF:0.0096, Tesseract:0.0095",Tesseract
1970-06-labour_party,"from_csv:11771, PyMuPDF:11789, Tesseract:11775","from_csv:593, PyMuPDF:522, Tesseract:522","from_csv:71997, PyMuPDF:72828, Tesseract:73160","from_csv:0.9921, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.1166, PyMuPDF:5.1733, Tesseract:5.1832","from_csv:0.0157, PyMuPDF:0.0149, Tesseract:0.0149",PyMuPDF
1950-02-conservative_party,"from_csv:N/A, PyMuPDF:7580, Tesseract:7552","from_csv:N/A, PyMuPDF:383, Tesseract:383","from_csv:N/A, PyMuPDF:46277, Tesseract:46533","from_csv:N/A, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:N/A, PyMuPDF:5.1037, Tesseract:5.1322","from_csv:N/A, PyMuPDF:0.0134, Tesseract:0.0133",PyMuPDF
2019-12-conservative_party,"from_csv:19596, PyMuPDF:21590, Tesseract:23052","from_csv:911, PyMuPDF:1496, Tesseract:1087","from_csv:117278, PyMuPDF:131655, Tesseract:204454","from_csv:1.0000, PyMuPDF:0.9994, Tesseract:0.9979","from_csv:4.9848, PyMuPDF:4.9392, Tesseract:4.6531","from_csv:0.0150, PyMuPDF:0.0184, Tesseract:0.0105",Tesseract
1992-04-liberal_democrats,"from_csv:18023, PyMuPDF:N/A, Tesseract:N/A","from_csv:931, PyMuPDF:N/A, Tesseract:N/A","from_csv:116722, PyMuPDF:N/A, Tesseract:N/A","from_csv:0.9971, PyMuPDF:N/A, Tesseract:N/A","from_csv:5.4038, PyMuPDF:N/A, Tesseract:N/A","from_csv:0.0149, PyMuPDF:N/A, Tesseract:N/A",from_csv
1979-05-conservative_party,"from_csv:8696, PyMuPDF:8845, Tesseract:8801","from_csv:435, PyMuPDF:445, Tesseract:445","from_csv:53090, PyMuPDF:53738, Tesseract:53947","from_csv:0.9989, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.0820, PyMuPDF:5.0742, Tesseract:5.0999","from_csv:0.0138, PyMuPDF:0.0141, Tesseract:0.0141",PyMuPDF
1945-07-labour_party,"from_csv:N/A, PyMuPDF:5062, Tesseract:5058","from_csv:N/A, PyMuPDF:234, Tesseract:235","from_csv:N/A, PyMuPDF:30187, Tesseract:30403","from_csv:N/A, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:N/A, PyMuPDF:4.9593, Tesseract:4.9699","from_csv:N/A, PyMuPDF:0.0148, Tesseract:0.0147",PyMuPDF
2024-07-liberal_democrats,"from_csv:N/A, PyMuPDF:23437, Tesseract:24921","from_csv:N/A, PyMuPDF:1025, Tesseract:1114","from_csv:N/A, PyMuPDF:151432, Tesseract:161308","from_csv:N/A, PyMuPDF:1.0000, Tesseract:0.9895","from_csv:N/A, PyMuPDF:5.3649, Tesseract:5.1676","from_csv:N/A, PyMuPDF:0.0145, Tesseract:0.0150",Tesseract
1987-06-labour_party,"from_csv:9150, PyMuPDF:0, Tesseract:9881","from_csv:453, PyMuPDF:0, Tesseract:518","from_csv:57531, PyMuPDF:0, Tesseract:92288","from_csv:0.9921, PyMuPDF:0.0000, Tesseract:0.9999","from_csv:5.2541, PyMuPDF:0.0000, Tesseract:4.9244","from_csv:0.0142, PyMuPDF:0.0000, Tesseract:0.0114",Tesseract
2005-05-liberal_democrats,"from_csv:16264, PyMuPDF:16638, Tesseract:15861","from_csv:837, PyMuPDF:776, Tesseract:885","from_csv:101188, PyMuPDF:106188, Tesseract:166695","from_csv:0.9993, PyMuPDF:0.9990, Tesseract:0.9951","from_csv:5.1994, PyMuPDF:5.1961, Tesseract:4.8030","from_csv:0.0159, PyMuPDF:0.0148, Tesseract:0.0104",PyMuPDF
1945-07-conservative_party,"from_csv:N/A, PyMuPDF:6236, Tesseract:6205","from_csv:N/A, PyMuPDF:274, Tesseract:274","from_csv:N/A, PyMuPDF:36693, Tesseract:36832","from_csv:N/A, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:N/A, PyMuPDF:4.8823, Tesseract:4.9067","from_csv:N/A, PyMuPDF:0.0152, Tesseract:0.0151",PyMuPDF
2019-12-labour_party,"from_csv:24628, PyMuPDF:26402, Tesseract:29854","from_csv:1133, PyMuPDF:1204, Tesseract:2590","from_csv:156229, PyMuPDF:170553, Tesseract:259330","from_csv:1.0000, PyMuPDF:1.0000, Tesseract:0.9962","from_csv:5.3431, PyMuPDF:5.2863, Tesseract:4.8108","from_csv:0.0139, PyMuPDF:0.0135, Tesseract:0.0189",Tesseract
1997-05-liberal_democrats,"from_csv:13752, PyMuPDF:N/A, Tesseract:N/A","from_csv:838, PyMuPDF:N/A, Tesseract:N/A","from_csv:85901, PyMuPDF:N/A, Tesseract:N/A","from_csv:0.9820, PyMuPDF:N/A, Tesseract:N/A","from_csv:5.2464, PyMuPDF:N/A, Tesseract:N/A","from_csv:0.0162, PyMuPDF:N/A, Tesseract:N/A",from_csv
1966-03-conservative_party,"from_csv:4622, PyMuPDF:4915, Tesseract:4873","from_csv:282, PyMuPDF:336, Tesseract:339","from_csv:28564, PyMuPDF:29467, Tesseract:30033","from_csv:0.9877, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.1348, PyMuPDF:4.9931, Tesseract:5.0495","from_csv:0.0146, PyMuPDF:0.0164, Tesseract:0.0162",PyMuPDF
