text,cmp_code,eu_code,pos,party,date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,translation_en,id
"It takes us out of the customs union,",407,NA,20,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
allowing us to set our own tariffs,406,NA,21,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
and do our own trade deals.,406,NA,22,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
It allows us to pass our own laws and ensures that it is our courts that enforce them.,601.1,NA,23,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
Our deal is the only one on the table.,305.1,NA,24,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"It is signed, sealed and ready.",305.1,NA,25,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
It puts the whole country on a path to a new free trade agreement with the EU.,407,NA,26,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"This will be a new relationship based on free trade and friendly cooperation,",407,NA,27,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
not on the EU’s treaties,110,NA,28,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
or EU law.,110,NA,29,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
There will be no political alignment with the EU.,110,NA,30,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"We will keep the UK out of the single market,",110,NA,31,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"out of any form of customs union,",110,NA,32,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
and end the role of the European Court of Justice.,110,NA,33,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
This future relationship will be one that allows us to: Take back control of our laws.,601.1,NA,34,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
Take back control of our money.,401,NA,35,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
Control our own trade policy.,401,NA,36,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
Introduce an Australian-style points-based immigration system.,601.2,NA,37,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"Raise standards in areas like workers’ rights,",701,NA,38,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"animal welfare,",501,NA,39,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
